City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,bengkulu,-3.8004,102.2655,301.99,70,86,0.69,ID,1706842145
159,bardai,11.65,7.2333,289.46,21,2,5.26,NG,1706842146
160,geraldton,-28.7667,114.6,316.38,8,0,6.17,AU,1706841867
161,taoudenni,22.6783,-3.9836,290.97,20,100,5.94,ML,1706842146
162,nalut,30.3333,10.85,279.86,52,0,2.23,LY,1706842147
163,tapes,-30.6733,-51.3958,295.17,83,0,4.77,BR,1706842147
164,faya-largeau,17.9257,19.1043,285.62,26,4,9.85,TD,1706842147
165,vilyuchinsk,52.9306,158.4028,262.3,82,100,2.95,RU,1706841818
166,kalabo,-14.97,22.6814,292.26,91,94,2.03,ZM,1706842148
167,reggane,26.7158,0.1714,286.31,27,2,5.53,DZ,1706842148
168,sisimiut,66.9395,-53.6735,251.89,98,100,2.3,GL,1706842149
169,klyuchi,52.2667,79.1667,265.93,91,100,4.66,RU,1706841852
170,hassi messaoud,31.6804,6.0729,277.07,65,0,0.51,DZ,1706842149
171,scottburgh,-30.2867,30.7532,294.75,92,96,4.51,ZA,1706842150
172,vila velha,-20.3297,-40.2925,299.12,92,40,3.6,BR,1706842150
173,mar del plata,-38.0023,-57.5575,297.56,70,0,3.13,AR,1706842150
174,ust-nera,64.5667,143.2,246.65,100,100,2.0,RU,1706842151
175,barcelos,41.5388,-8.6151,287.42,71,85,2.16,PT,1706842151
176,port douglas,-16.4833,145.4667,302.41,77,82,1.87,AU,1706842151
177,medenine,33.355,10.5055,284.45,54,99,3.34,TN,1706842152
178,yaren,-0.5472,166.916,301.96,74,83,4.13,NR,1706842152
179,jand,33.4299,72.0193,281.76,59,9,2.26,PK,1706842152
180,coari,-4.085,-63.1414,296.49,99,100,1.14,BR,1706842151
181,wabag,-5.4781,143.7021,291.61,81,99,1.21,PG,1706842153
182,senanga,-16.1167,23.2667,292.69,85,76,2.24,ZM,1706842153
183,petropavlovsk-kamchatsky,53.0452,158.6483,261.48,57,75,4.0,RU,1706842154
184,guiratinga,-16.3494,-53.7583,295.48,83,59,1.06,BR,1706842154
185,fort mcmurray,56.7268,-111.381,277.88,75,0,3.09,CA,1706841941
186,pisco,-13.7,-76.2167,297.18,78,0,5.66,PE,1706842155
187,jaffna,9.6685,80.0074,299.96,79,100,3.15,LK,1706842155
188,toliara,-23.35,43.6667,299.01,70,74,5.1,MG,1706842156
189,anadyr,64.75,177.4833,257.43,60,20,13.0,RU,1706841813
190,shubarshi,48.5872,57.1869,268.94,96,100,7.77,KZ,1706842156
191,muhos,64.808,25.9931,271.03,69,100,7.07,FI,1706842157
192,quellon,-43.1167,-73.6167,288.22,88,100,2.07,CL,1706842157
193,avarua,-21.2078,-159.775,303.18,79,40,2.06,CK,1706841827
194,yigou,35.8114,114.3167,271.68,34,100,2.85,CN,1706842158
195,lihue,21.9789,-159.3672,298.73,80,100,0.0,US,1706841546
196,san cristobal,7.7669,-72.225,296.25,91,77,0.98,VE,1706841882
197,chipiona,36.7366,-6.437,282.27,87,0,1.54,ES,1706842159
198,san rafael,-34.6177,-68.3301,303.95,30,4,7.35,AR,1706842159
199,mount isa,-20.7333,139.5,304.02,62,75,6.69,AU,1706842160
200,brookshire,29.7861,-95.9511,290.35,86,92,0.45,US,1706842160
201,invercargill,-46.4,168.35,286.49,74,99,6.26,NZ,1706842160
202,jayapura,-2.5333,140.7,304.81,74,97,4.36,ID,1706841904
203,kone,-21.0595,164.8658,297.56,94,100,2.24,NC,1706842161
204,namibe,-15.1961,12.1522,298.25,84,100,1.34,AO,1706842161
205,taroa,8.7058,171.2275,300.0,85,100,9.98,MH,1706842162
206,akureyri,65.6835,-18.0878,275.11,87,100,1.03,IS,1706841832
207,obudu,6.6674,9.1716,296.44,26,69,2.0,NG,1706842163
208,yelizovo,53.1873,158.3805,262.23,56,75,4.02,RU,1706842163
209,torit,4.4133,32.5678,299.43,53,100,0.77,SS,1706842163
210,konduga,11.6558,13.4213,290.7,48,90,2.88,NG,1706842164
211,port elizabeth,-33.918,25.5701,294.32,96,100,3.09,ZA,1706842164
212,mahibadhoo,3.7833,72.9667,300.85,78,50,4.6,MV,1706842164
213,valabhipur,21.8833,71.8667,294.61,51,42,2.23,IN,1706842165
214,brokopondo,4.75,-55.1667,297.11,77,100,3.98,SR,1706842165
215,jodhpur,26.2867,73.03,289.56,32,39,4.36,IN,1706842165
216,olinda,-8.0089,-34.8553,301.0,74,40,2.57,BR,1706842166
217,bisert',56.8617,59.0523,255.06,100,100,1.41,RU,1706842166
218,kendari,-3.945,122.4989,304.64,62,96,0.98,ID,1706842166
219,loen,7.7601,168.2307,300.38,84,87,11.15,MH,1706842167
220,grand baie,-20.0182,57.5802,299.51,77,32,2.24,MU,1706842167
221,saint albans,51.75,-0.3333,279.14,92,40,6.17,GB,1706842127
222,ishinomaki,38.4167,141.3,276.15,47,84,9.18,JP,1706842168
223,khandyga,62.6667,135.6,239.05,96,94,1.05,RU,1706842168
224,kentau,43.5206,68.5094,264.47,93,100,2.45,KZ,1706842169
225,codrington,-38.2667,141.9667,292.44,52,0,6.07,AU,1706842169
226,margate,51.3813,1.3862,278.88,84,39,4.02,GB,1706842169
227,kodinsk,58.6881,99.1844,246.21,99,70,0.63,RU,1706842170
228,newman,37.3138,-121.0208,285.28,83,43,2.68,US,1706842170
229,afaahiti,-17.75,-149.2833,302.08,78,30,5.72,PF,1706842170
230,tura,25.5198,90.2201,292.52,54,31,1.35,IN,1706842171
231,argo,37.6333,22.7333,278.58,50,11,1.51,GR,1706842171
232,cova figueira,14.8905,-24.2934,294.75,62,22,3.7,CV,1706842171
233,greymouth,-42.4667,171.2,286.81,87,100,5.35,NZ,1706841827
234,lewistown,40.5992,-77.5714,281.59,87,100,0.0,US,1706842172
235,dwarka,22.2394,68.9678,295.84,73,97,1.18,IN,1706842172
236,polyarnyy,69.1989,33.4478,272.16,70,100,11.64,RU,1706842173
237,toyooka,35.5333,134.8333,277.18,70,75,2.06,JP,1706842173
238,murcia,38.0,-1.5,278.8,58,6,1.57,ES,1706842174
239,aral,40.5156,81.2636,271.72,57,100,2.69,CN,1706842174
240,priob'ye,62.5206,65.5964,258.72,97,100,4.82,RU,1706842174
241,atafu village,-8.5421,-172.5159,301.72,75,99,8.21,TK,1706842175
242,darwin,-12.4611,130.8418,305.4,77,75,7.2,AU,1706842107
243,vila franca do campo,37.7167,-25.4333,291.42,99,39,4.05,PT,1706841945
244,barra de santo antonio,-9.4047,-35.5072,297.75,79,14,3.77,BR,1706842176
245,ariquemes,-9.9133,-63.0408,295.74,98,100,1.24,BR,1706842176
246,tymovskoye,50.8456,142.655,255.11,88,100,3.96,RU,1706842176
247,pacasmayo,-7.4006,-79.5714,297.73,80,100,5.49,PE,1706842145
248,ried im innkreis,48.2112,13.4886,278.62,86,96,1.79,AT,1706842177
249,lompoc,34.6391,-120.4579,285.81,85,100,4.12,US,1706841882
250,mahdia,35.5047,11.0622,286.12,69,69,7.29,TN,1706842178
251,forster,-32.1667,152.5167,305.53,51,1,7.17,AU,1706842178
252,tocopilla,-22.092,-70.1979,294.81,80,20,0.58,CL,1706842178
253,ola,59.5833,151.2833,249.78,82,17,2.58,RU,1706842179
254,havre,49.5833,0.3333,279.02,100,100,6.17,FR,1706842179
255,machico,32.7,-16.7667,291.0,73,40,3.6,PT,1706841734
256,kill devil hills,36.0307,-75.676,279.16,91,0,2.06,US,1706842179
